year,part_of_world,GDP,gdp_sum,frac_gdp
1972,Africa,78779798299.653,3336069059387.419,2.361455860092981
1973,Africa,100874607136.6408,4078847213791.644,2.473115609615322
1974,Africa,130272262547.7844,4648587088462.983,2.802405549658269
1975,Africa,143093884470.9001,5162193940127.351,2.771958708458946
1976,Africa,153253942300.8164,5601049720266.617,2.736164646892678
1977,Africa,168730852150.1694,6325774177028.1875,2.6673549739241276
1978,Africa,186544750021.6315,7464228132217.797,2.4991833946828295
1979,Africa,223299805993.3672,8566764316875.246,2.606582809258566
1980,Africa,282685644550.885,9552236440841.277,2.959366074129427
1981,Africa,385390499968.27,9925650275712.383,3.8827733122060843
1982,Africa,354430039273.705,9840013740848.664,3.601926263602319
1983,Africa,313033250633.89404,10078617192856.057,3.105914677023142
1984,Africa,274396636557.41797,10506752595779.86,2.6116217552094265
1985,Africa,252804620657.066,11013701185458.26,2.2953648042571917
1986,Africa,260015837025.405,13081404839074.672,1.9876751788059297
1987,Africa,296466419746.04297,14945028944797.828,1.9837125832348361
1988,Africa,313083309105.204,16722465443614.336,1.872231760088692
1989,Africa,319307375244.133,17563176497119.984,1.8180502558662617
1990,Africa,375026166516.969,19684163557218.473,1.9052176915053187
1991,Africa,390859866124.375,20796626812258.453,1.8794387650115687
1992,Africa,356537694439.721,22404159732682.543,1.591390610912375
1993,Africa,335353288935.03357,22956934825870.938,1.4607929650830944
1994,Africa,326401837177.2446,24959253175674.707,1.30773879682969
1995,Africa,377858174352.417,27726450486153.203,1.3628075997002291
1996,Africa,394176712806.026,28233963505348.797,1.396108317315601
1997,Africa,409248909137.003,27952130745255.89,1.464106306838386
1998,Africa,395920915726.47003,27852641146679.23,1.4214842809392754
1999,Africa,399693199349.539,29051135615024.824,1.3758264208536601
2000,Africa,424335683827.41504,29995540620404.36,1.4146625633370389
2001,Africa,406831402584.865,29801288585386.258,1.3651470184559873
2002,Africa,441807840329.304,30820617145103.84,1.4334814849724369
2003,Africa,557303035248.193,34387854377338.195,1.6206391626907057
2004,Africa,692926349248.0549,38398695503412.48,1.8045570042515502
2005,Africa,822768664780.27,41270083203707.59,1.9936200775731772
2006,Africa,969226624306.794,44399273100576.53,2.182978586408903
2007,Africa,1122970674163.674,49575784942992.195,2.265159644885082
2008,Africa,1274767756290.2568,54226097322448.66,2.3508381005367416
2009,Africa,1226260249567.149,52465050718986.016,2.337289743862557
2010,Africa,1452074126603.5972,57153881186159.03,2.540639579443375
2011,Africa,1635401487483.913,62943454508135.9,2.598207391481072
2012,Africa,1700613839029.085,64047433709489.695,2.6552411869347243
2013,Africa,1804729746760.399,65872405889624.58,2.7397355878945633
2014,Africa,1868669322245.4878,67979416219053.266,2.7488752127908644
2015,Africa,1684987010408.746,65072469989608.34,2.589400726110178
2016,Africa,1572901440316.0542,66721438401287.37,2.3574153645430185
2017,Africa,1704395982149.332,71189480467221.58,2.3941683110527863
2018,Africa,1732712178090.128,75681318574150.6,2.289484658479439
2019,Africa,1792077087975.2969,76902356879065.66,2.3303279128277743
2020,Africa,1706091668556.6738,74896633925197.67,2.277928364925742
2021,Africa,1917904004877.707,84457793650239.69,2.2708431300256495
1972,Asia,654603315509.4794,3336069059387.419,19.621995344115568
1973,Asia,846589966122.14,4078847213791.644,20.755618481113952
1974,Asia,981550408823.51,4648587088462.983,21.115026784365387
1975,Asia,1071598364771.583,5162193940127.351,20.758583989681465
1976,Asia,1161361181719.572,5601049720266.617,20.734705809115543
1977,Asia,1379419797892.327,6325774177028.1875,21.80633957661085
1978,Asia,1721347349621.498,7464228132217.797,23.061290720625998
1979,Asia,1875502523798.9282,8566764316875.246,21.89277601701343
1980,Asia,2051777387047.398,9552236440841.277,21.479549838976716
1981,Asia,2251869336834.754,9925650275712.383,22.68737336378833
1982,Asia,2220982912771.58,9840013740848.664,22.570933042010456
1983,Asia,2361704078255.953,10078617192856.057,23.43281854111872
1984,Asia,2508489770530.202,10506752595779.86,23.87502463451706
1985,Asia,2655732580710.621,11013701185458.26,24.112989230333117
1986,Asia,3396199961958.551,13081404839074.672,25.96204309657911
1987,Asia,3967715788592.7856,14945028944797.828,26.54873271405671
1988,Asia,4728843054704.506,16722465443614.336,28.278384372504522
1989,Asia,4913459132938.233,17563176497119.984,27.975913888606335
1990,Asia,5144317387713.874,19684163557218.473,26.134295078174034
1991,Asia,5710366422639.67,20796626812258.453,27.4581376787207
1992,Asia,6228380960802.434,22404159732682.543,27.800109600703525
1993,Asia,6916062882882.782,22956934825870.938,30.126246972173483
1994,Asia,7834767309506.193,24959253175674.707,31.39023132768235
1995,Asia,8885319329227.457,27726450486153.203,32.046364296305626
1996,Asia,8624286499522.45,28233963505348.797,30.545787515410716
1997,Asia,8293582844753.656,27952130745255.89,29.670664180623383
1998,Asia,7486630926882.77,27852641146679.23,26.87942909060663
1999,Asia,8336971359551.128,29051135615024.824,28.6975747524285
2000,Asia,9003566152485.4375,29995540620404.36,30.016348984758068
2001,Asia,8432882360703.874,29801288585386.258,28.29703935969779
2002,Asia,8587210786177.385,30820617145103.84,27.861904081117817
2003,Asia,9487265550564.924,34387854377338.195,27.58900118181578
2004,Asia,10670577197161.822,38398695503412.48,27.788905475222542
2005,Asia,11456624891175.47,41270083203707.59,27.76012065356398
2006,Asia,12224118767470.111,44399273100576.53,27.532249773051753
2007,Asia,13825987282278.96,49575784942992.195,27.888589758442823
2008,Asia,15733969001904.6,54226097322448.66,29.015492131665933
2009,Asia,16302779288855.68,52465050718986.016,31.07359864412757
2010,Asia,19124110044938.28,57153881186159.03,33.46073730784458
2011,Asia,22063199186318.344,62943454508135.9,35.05241229406389
2012,Asia,23471325064572.27,64047433709489.695,36.646784586303575
2013,Asia,23769429362127.68,65872405889624.58,36.08404618157655
2014,Asia,24669879108240.688,67979416219053.266,36.29021912860472
2015,Asia,24696527861237.242,65072469989608.34,37.95234430963066
2016,Asia,25777389173061.57,66721438401287.37,38.634342710099915
2017,Asia,27752022668396.29,71189480467221.58,38.98331956668009
2018,Asia,30008332536567.66,75681318574150.6,39.650911350290855
2019,Asia,30672811550100.45,76902356879065.66,39.885398568909395
2020,Asia,30601196948498.08,74896633925197.67,40.85790688412077
2021,Asia,34968606004913.082,84457793650239.69,41.40364612143031
1972,America,1612257234054.5298,3336069059387.419,48.328053327246714
1973,America,1849362131125.2532,4078847213791.644,45.340313921837485
1974,America,2085014359229.3389,4648587088462.983,44.85264704202264
1975,America,2256626600459.497,5162193940127.351,43.71448703075705
1976,America,2516380362319.029,5601049720266.617,44.92694205541253
1977,America,2772723029644.831,6325774177028.1875,43.83215322029469
1978,America,3113639554154.147,7464228132217.797,41.714153144847835
1979,America,3515123554992.611,8566764316875.246,41.03210296177219
1980,America,3914591558979.104,9552236440841.277,40.98089052990758
1981,America,4408406250647.159,9925650275712.383,44.41428146460419
1982,America,4487224122825.938,9840013740848.664,45.60180748730268
