country,Year,Inflation
Austria,1981,6.72
Austria,1982,5.36
Austria,1983,3.47
Austria,1984,4.95
Austria,1985,2.96
Austria,1986,2.95
Austria,1987,2.44
Austria,1988,1.53
Austria,1989,2.96
Austria,1990,3
Austria,1991,3.64
Austria,1992,3.48
Austria,1993,2.76
Austria,1994,2.52
Austria,1995,1.81
Austria,1996,0.986
Austria,1997,1.27
Austria,1998,0.442
Austria,1999,0.256
Austria,2000,1.36
Austria,2001,1.95
Austria,2002,1.15
Austria,2003,1.31
Austria,2004,1.74
Austria,2005,2.54
Austria,2006,1.89
Austria,2007,2.22
Austria,2008,1.96
Austria,2009,1.89
Austria,2010,0.873
Austria,2011,1.83
Austria,2012,2.05
Austria,2013,1.62
Austria,2014,2.18
Austria,2015,2.3
Austria,2016,1.85
Austria,2017,1.01
Austria,2018,1.8
Austria,2019,1.62
Austria,2020,2.31
Belgium,1981,5.14
Belgium,1982,7.57
Belgium,1983,5.61
Belgium,1984,5.44
Belgium,1985,4.63
Belgium,1986,2.8
Belgium,1987,1.68
Belgium,1988,2.17
Belgium,1989,4.8
Belgium,1990,2.81
Belgium,1991,2.88
Belgium,1992,3.42
Belgium,1993,3.99
Belgium,1994,2.09
Belgium,1995,1.22
Belgium,1996,0.477
Belgium,1997,0.758
Belgium,1998,1.81
Belgium,1999,0.599
Belgium,2000,2.01
Belgium,2001,1.98
Belgium,2002,1.64
Belgium,2003,1.85
Belgium,2004,1.91
Belgium,2005,2.08
Belgium,2006,2.26
Belgium,2007,1.93
Belgium,2008,1.91
Belgium,2009,0.533
Belgium,2010,1.89
Belgium,2011,1.81
Belgium,2012,1.96
Belgium,2013,1.27
Belgium,2014,0.983
Belgium,2015,1.33
Belgium,2016,1.92
Belgium,2017,1.83
Belgium,2018,1.52
Belgium,2019,1.75
Belgium,2020,1.28
Bulgaria,1981,2.82
Bulgaria,1982,1.92
Bulgaria,1984,2.74
Bulgaria,1985,0.229
Bulgaria,1986,1.35
Bulgaria,1987,0.0638
Bulgaria,1989,6.73
Bulgaria,1990,26.2
Bulgaria,1991,227
Bulgaria,1992,59.6
Bulgaria,1993,51.1
Bulgaria,1994,72.7
Bulgaria,1995,136
Bulgaria,1996,63
Bulgaria,1997,913
Bulgaria,1998,34
Bulgaria,1999,3.32
Bulgaria,2000,7.38
Bulgaria,2001,6.12
Bulgaria,2002,3.85
Bulgaria,2003,2.19
Bulgaria,2004,5.58
Bulgaria,2005,6.59
Bulgaria,2006,6.76
Bulgaria,2007,11
Bulgaria,2008,8.1
Bulgaria,2009,3.94
Bulgaria,2010,0.764
Bulgaria,2011,6.11
Bulgaria,2012,1.11
Bulgaria,2013,0.072
Bulgaria,2014,1.34
Bulgaria,2015,2.95
Bulgaria,2016,3.32
Bulgaria,2017,4.81
Bulgaria,2018,4.23
Bulgaria,2019,5.24
Bulgaria,2020,4.2
Switzerland,1981,5.66
Switzerland,1982,7.35
Switzerland,1983,2.37
Switzerland,1984,3.76
Switzerland,1985,2.27
Switzerland,1986,3.03
Switzerland,1987,2.19
Switzerland,1988,2.79
Switzerland,1989,3.46
Switzerland,1990,4.6
Switzerland,1991,5.41
