Year,AvgT,Mean,Val,Year_fct
1860,2.34,3.02,1,1860
1861,3.55,3.03,1,1861
1862,2.53,3.03,1,1862
1863,4.59,3.01,1,1863
1864,2.24,2.98,1,1864
1865,3.09,2.94,1,1865
1866,2.99,2.92,1,1866
1867,1.18,2.91,1,1867
1868,4.06,2.92,1,1868
1869,3.33,2.96,1,1869
1870,2.71,3.01,1,1870
1871,1.47,3.06,1,1871
1872,4.41,3.09,1,1872
1873,4,3.09,1,1873
1874,3.8,3.07,1,1874
1875,2.06,3.03,1,1875
1876,2.51,3,1,1876
1877,2.22,2.99,1,1877
1878,4.03,3.01,1,1878
1879,2.53,3.06,1,1879
1880,3.51,3.13,1,1880
1881,1.74,3.21,1,1881
1882,4.27,3.28,1,1882
1883,3.97,3.33,1,1883
1884,3.82,3.36,1,1884
1885,2.78,3.36,1,1885
1886,3.57,3.35,1,1886
1887,3.73,3.33,1,1887
1888,1.7,3.33,1,1888
1889,3.82,3.34,1,1889
1890,4.05,3.35,1,1890
1891,3.84,3.38,1,1891
1892,2.51,3.42,1,1892
1893,2.51,3.46,1,1893
1894,4.67,3.5,1,1894
1895,3.02,3.54,1,1895
1896,4.32,3.55,1,1896
1897,3.89,3.53,1,1897
1898,3.7,3.48,1,1898
1899,3.06,3.42,1,1899
1900,2.85,3.37,1,1900
1901,3.94,3.35,1,1901
1902,1.99,3.36,1,1902
1903,3.89,3.39,1,1903
1904,3.11,3.46,1,1904
1905,3.67,3.53,1,1905
1906,4.27,3.61,1,1906
1907,3.55,3.68,1,1907
1908,3.71,3.74,1,1908
1909,2.95,3.79,1,1909
1910,4.43,3.83,1,1910
1911,4.49,3.84,1,1911
1912,3.4,3.82,1,1912
1913,4.32,3.77,1,1913
1914,4.89,3.71,1,1914
1915,2.08,3.64,1,1915
1916,3.56,3.6,1,1916
1917,2.87,3.58,1,1917
1918,3.9,3.59,1,1918
1919,3.04,3.62,1,1919
1920,4.81,3.64,1,1920
1921,4.36,3.65,1,1921
1922,2.97,3.65,1,1922
1923,3.04,3.64,1,1923
1924,3.69,3.63,1,1924
1925,4.1,3.64,1,1925
1926,3.51,3.68,1,1926
1927,3.4,3.74,1,1927
1928,3.3,3.83,1,1928
1929,3.61,3.95,1,1929
1930,5.24,4.09,1,1930
1931,3.19,4.24,1,1931
1932,4.69,4.39,1,1932
1933,4.33,4.51,1,1933
1934,5.92,4.58,1,1934
1935,4.44,4.61,1,1935
1936,4.51,4.56,1,1936
1937,4.82,4.45,1,1937
1938,5.79,4.29,1,1938
1939,4.53,4.11,1,1939
1940,2.51,3.95,1,1940
1941,2.36,3.87,1,1941
1942,2.13,3.86,1,1942
1943,5.21,3.92,1,1943
1944,4.6,4.03,1,1944
1945,4.5,4.15,1,1945
1946,4.29,4.25,1,1946
1947,3.55,4.32,1,1947
1948,4.69,4.34,1,1948
1949,5.54,4.33,1,1949
1950,4.36,4.28,1,1950
1951,4.04,4.2,1,1951
1952,3.09,4.1,1,1952
1953,5.31,3.99,1,1953
1954,3.92,3.9,1,1954
1955,3.1,3.84,1,1955
1956,2.66,3.82,1,1956
1957,4.17,3.84,1,1957
1958,3.23,3.88,1,1958
1959,5.22,3.91,1,1959
1960,3.9,3.92,1,1960
1961,5.01,3.89,1,1961
1962,3.08,3.82,1,1962
1963,3.42,3.74,1,1963
1964,4.19,3.66,1,1964
1965,3.15,3.6,1,1965
1966,2.67,3.57,1,1966
1967,4.29,3.57,1,1967
1968,3.43,3.62,1,1968
1969,3.34,3.71,1,1969
1970,2.99,3.83,1,1970
1971,4.03,3.96,1,1971
1972,4.64,4.08,1,1972
1973,4.35,4.15,1,1973
1974,5.05,4.16,1,1974
1975,5.45,4.09,1,1975
1976,3.44,3.98,1,1976
1977,3.66,3.84,1,1977
1978,3.1,3.71,1,1978
1979,3.06,3.63,1,1979
1980,3.13,3.6,1,1980
1981,3.11,3.61,1,1981
1982,4.28,3.63,1,1982
1983,4.61,3.67,1,1983
1984,4.55,3.71,1,1984
1985,2.03,3.78,1,1985
1986,3.43,3.9,1,1986
1987,2.55,4.06,1,1987
1988,4.46,4.26,1,1988
1989,5.74,4.44,1,1989
1990,5.8,4.59,1,1990
1991,4.76,4.66,1,1991
1992,5.21,4.66,1,1992
1993,4.21,4.63,1,1993
1994,4.33,4.58,1,1994
1995,4.38,4.55,1,1995
1996,3.57,4.56,1,1996
1997,5,4.6,1,1997
1998,4.22,4.68,1,1998
1999,4.94,4.77,1,1999
2000,5.77,4.86,1,2000
2001,4.49,4.94,1,2001
2002,5.19,5.01,1,2002
2003,4.98,5.06,1,2003
2004,4.86,5.1,1,2004
2005,5.22,5.11,1,2005
2006,5.62,5.1,1,2006
2007,5.4,5.06,1,2007
2008,5.61,5.02,1,2008
2009,4.79,4.98,1,2009
2010,2.93,4.97,1,2010
2011,5.69,5.01,1,2011
2012,4.43,5.09,1,2012
2013,5.04,5.2,1,2013
2014,6.21,5.31,1,2014
2015,5.91,5.42,1,2015
2016,5.39,5.5,1,2016
2017,5.15,5.56,1,2017
2018,5.63,5.61,1,2018
2019,5.52,5.65,1,2019
2020,6.82,5.68,1,2020
2021,5.09,5.7,1,2021
