country_of_origin,company,farm_name,total_cup_points
Guatemala,NA,"san marcos barrancas ""san cristobal cuch",89.75
Brazil,NA,NA,88.83
Mexico,NA,la herradura,87.17
Brazil,nucoffee,fazenda kaquend,86.92
Taiwan,taiwan coffee laboratory,tsoustructive garden 鄒築園,86.58
Brazil,nucoffee,fazenda recreio,86.42
Kenya,c dorman ltd,kangunu,86.25
Brazil,NA,pereira estate coffee,86.17
Brazil,NA,pereira estate coffee,86.17
Taiwan,taiwan coffee laboratory,sunshine valley estate 向陽高山咖啡,86.08
Kenya,keremara limited,jungle estate,86.08
Brazil,nucoffee,fazenda kaquend,86.08
Colombia,lusso coffee lab,ecobio colombia,86
Kenya,lusso coffee lab,kianjavi,86
Guatemala,"unex guatemala, s.a.",la esperanza y anexos,85.92
Colombia,exportadora de cafe condor s.a,NA,85.92
Guatemala,sertrasa,valparaiso,85.83
Guatemala,unicafe,finca el limon,85.83
Kenya,essence coffee,inoi,85.5
Guatemala,exportcafe,asoperc,85.5
Brazil,nucoffee,fazenda serra de três barras,85.42
Guatemala,essence coffee,el injerto s.a.,85.33
Kenya,rashid moledina & co. (msa) ltd,NA,85.33
Kenya,ibero kenya limited,NA,85.33
Guatemala,"unex guatemala, s.a.",la esperanza y anexos,85.25
Colombia,exportadora de cafe condor s.a,various,85.25
Colombia,ecom cca sa,NA,85.25
Guatemala,the coffee source inc.,coop. hoja blanca - fedecocagua,85.17
Colombia,carcafe ltda,NA,85.08
Colombia,carcafe ltda,NA,85.08
Colombia,racafe & cia s.c.a,NA,85
Mexico,"cafetal el equimite, rancho agroecológico, s.p.r. de r.l.",various,85
Kenya,c dorman ltd,NA,85
Kenya,rashid moledina & co. (msa) ltd,machure estate,85
Brazil,nucoffee,sitío são geraldo,85
Mexico,NA,kassandra,85
Guatemala,NA,la igualdad,85
Colombia,racafe & cia s.c.a,NA,84.92
Colombia,racafe & cia s.c.a,NA,84.92
Taiwan,taiwan coffee laboratory,baishengcun coffee 百勝村咖啡莊園,84.92
Colombia,racafe & cia s.c.a,NA,84.92
Mexico,NA,el suspiro,84.92
Brazil,nucoffee,fazenda grota funda,84.92
Brazil,nucoffee,sitio claro,84.92
Kenya,NA,NA,84.92
Taiwan,taiwan coffee laboratory,shi fang yuan 十方源,84.83
Kenya,c dorman ltd,karatina,84.75
Guatemala,"waelti schoenfeld exportadores de cafe, s.a.",san diego buena vista,84.67
Taiwan,blossom valley宸嶧國際,dragon 龍咖啡,84.67
Colombia,ecom cca sa,NA,84.67
Kenya,dream together inc.,NA,84.67
Guatemala,"unex guatemala, s.a.",agropecuaria quiagral,84.67
Guatemala,sertrasa,valparaiso,84.67
Mexico,organizaciones de productores de cafe colimense sa de cv,"el nogal, la higuera, los laureles",84.67
Kenya,keremara limited,jungle estate,84.58
Colombia,racafe & cia s.c.a,NA,84.58
Colombia,racafe & cia s.c.a,NA,84.58
Kenya,c dorman ltd,blend,84.58
Guatemala,"armajaro guatemala, s. a.",el morito,84.58
Guatemala,"unex guatemala, s.a.",el papaturro,84.58
Colombia,ecom cca sa,NA,84.58
Colombia,racafe & cia s.c.a,NA,84.58
Kenya,taylor winch (coffee) ltd,NA,84.58
Colombia,exportadora de cafe condor s.a,NA,84.58
Colombia,exportadora de cafe condor s.a,various,84.58
Brazil,nucoffee,fazenda recreio,84.58
Brazil,nucoffee,fazenda vista alegre,84.58
Colombia,federacion nacional de cafeteros,NA,84.5
Guatemala,"unex guatemala, s.a.",el sacramento,84.5
Kenya,dream together co. ltd,rumukia farmers,84.5
Mexico,NA,la barranca,84.5
Mexico,ecomtrading,finca el retiro,84.5
Guatemala,"transcafe, s.a",nueva granada,84.5
Brazil,NA,NA,84.5
Brazil,NA,NA,84.5
Colombia,carcafe ltda,NA,84.42
Colombia,racafe & cia s.c.a,NA,84.42
Taiwan,tropica galliard,tropica galliard,84.42
Mexico,finca hamburgo,finca la chiripa,84.42
Kenya,c dorman ltd,kigwandi,84.33
Colombia,skn caribecafe ltda,NA,84.33
Colombia,racafe & cia s.c.a,NA,84.33
Colombia,carcafe ltda,NA,84.33
Colombia,exportadora de cafe condor s.a,NA,84.33
Mexico,NA,la distancia,84.33
Brazil,NA,santa alina,84.33
Brazil,NA,fazenda baipendi,84.33
Guatemala,NA,las minas,84.33
Taiwan,taiwan coffee laboratory,馨晴咖啡 good mood coffee,84.25
Colombia,carcafe ltda,NA,84.25
Guatemala,"siembras vision, s.a.",finca medina,84.25
Guatemala,exportcafe,finca san vicente,84.25
Colombia,racafe & cia s.c.a,NA,84.25
Colombia,racafe & cia s.c.a,NA,84.25
Colombia,federacion nacional de cafeteros,NA,84.25
Colombia,carcafe ltda,NA,84.25
Guatemala,"unex guatemala, s.a.",el papaturro,84.25
Colombia,exportadora de cafe condor s.a,NA,84.25
Mexico,carajillo café sa de cv,pante carajillo,84.25
Mexico,NA,finca los barreales,84.25
Mexico,ecomtrading,finca santa teresa,84.25
Guatemala,"unex guatemala, s.a.",piamonte,84.17
Colombia,racafe & cia s.c.a,NA,84.17
Guatemala,exportcafe,finca la joya,84.17
Guatemala,cafcom,santo tomas pachuj,84.17
Guatemala,"unex guatemala, s.a.",chapultepec,84.17
Colombia,racafe & cia s.c.a,NA,84.17
Brazil,cafebras comercio de cafés do brasil sa,pantano,84.17
Colombia,olam international ltd,NA,84.17
Guatemala,volcafe specialty coffee,NA,84.17
Kenya,taylor winch (coffee) ltd,NA,84.17
Brazil,café do paraíso,café do paraíso,84.17
Guatemala,"unex guatemala, s.a.",la union monte verde,84.17
Colombia,exportadora de cafe condor s.a,NA,84.17
Guatemala,unicafe,el limon,84.17
Colombia,carcafe ltda,NA,84.08
Taiwan,taiwan coffee laboratory,chang yu liang 張玉良,84.08
Guatemala,"unex guatemala, s.a.",la esperanza y anexos,84.08
Colombia,racafe & cia s.c.a,NA,84.08
Guatemala,lusso coffee lab,aprocafi,84.08
Mexico,NA,la lagunilla,84.08
Guatemala,exportcafe,finca los cerros y anexos,84
Colombia,olam international ltd,NA,84
Guatemala,"unex guatemala, s.a.",el papaturro,84
Guatemala,"unex guatemala, s.a.",el papaturro,84
Colombia,olam international ltd,NA,84
Colombia,ecom cca sa,NA,84
Colombia,racafe & cia s.c.a,NA,84
Brazil,ipanema coffees,fazenda rio verde,84
Colombia,exportadora de cafe condor s.a,NA,84
Kenya,ibero kenya limited,NA,84
Kenya,taylor winch (coffee) ltd,-,84
Brazil,ipanema coffees,fazenda capoeirnha,83.92
Mexico,cafes tomari sa de cv,cafetal,83.92
Brazil,ipanema coffees,capoeirinha,83.92
Taiwan,taiwan coffee laboratory,tsoustructive garden 鄒築園,83.92
Colombia,carcafe ltda,NA,83.92
Colombia,racafe & cia s.c.a,NA,83.92
Taiwan,宸嶧國際,very famous intl.名門義理國際股份有限公司,83.92
Colombia,federacion nacional de cafeteros,NA,83.92
Colombia,federacion nacional de cafeteros,NA,83.92
Colombia,racafe & cia s.c.a,NA,83.92
Taiwan,宸嶧國際,神谷山莊園,83.92
Colombia,ecom cca sa,NA,83.92
Mexico,agro xicotepec 2000,finca cuetzalingo,83.92
Mexico,ecomtrading,finca sant rosa,83.92
Mexico,organizaciones de productores de cafe colimense sa de cv,comunidad la yerbabuena,83.92
Colombia,carcafe ltda,NA,83.83
Colombia,racafe & cia s.c.a,NA,83.83
Guatemala,"siembras vision, s.a.",finca medina,83.83
Taiwan,宸嶧國際,優遊吧斯股份有限公司yuyupas international corp.,83.83
Brazil,ipanema coffees,rio verde,83.83
Taiwan,taiwan coffee laboratory,鄉舍咖啡 hometown coffee,83.83
Brazil,ipanema coffees,rio verde,83.83
