Månad,Örebro,City,Cost,Cost_grey
2018-10-01,23752,Stockholm,70363,70363
2018-10-01,23752,Umeå,27082,27082
2018-10-01,23752,Uppsala,36225,36225
2018-10-01,23752,Västerås,21765,21765
2018-10-01,23752,Göteborg,47630,47630
2018-10-01,23752,Linköping,30378,30378
2018-10-01,23752,Malmö,28038,28038
2018-10-01,23752,Kalmar,22079,22079
2018-10-01,23752,Gotland,31059,31059
2018-11-01,24110,Stockholm,70096,70096
2018-11-01,24110,Umeå,26308,26308
2018-11-01,24110,Uppsala,36156,36156
2018-11-01,24110,Västerås,21458,21458
2018-11-01,24110,Göteborg,47408,47408
2018-11-01,24110,Linköping,30672,30672
2018-11-01,24110,Malmö,27691,27691
2018-11-01,24110,Kalmar,22672,22672
2018-11-01,24110,Gotland,30888,30888
2018-12-01,24374,Stockholm,69025,69025
2018-12-01,24374,Umeå,27346,27346
2018-12-01,24374,Uppsala,36593,36593
2018-12-01,24374,Västerås,21776,21776
2018-12-01,24374,Göteborg,46583,46583
2018-12-01,24374,Linköping,30888,30888
2018-12-01,24374,Malmö,27849,27849
2018-12-01,24374,Kalmar,23656,23656
2018-12-01,24374,Gotland,31670,31670
2019-01-01,25386,Stockholm,68551,68551
2019-01-01,25386,Umeå,27594,27594
2019-01-01,25386,Uppsala,36521,36521
2019-01-01,25386,Västerås,22080,22080
2019-01-01,25386,Göteborg,46031,46031
2019-01-01,25386,Linköping,30830,30830
2019-01-01,25386,Malmö,28389,28389
2019-01-01,25386,Kalmar,23030,23030
2019-01-01,25386,Gotland,30597,30597
2019-02-01,25371,Stockholm,68776,68776
2019-02-01,25371,Umeå,27813,27813
2019-02-01,25371,Uppsala,36655,36655
2019-02-01,25371,Västerås,22677,22677
2019-02-01,25371,Göteborg,46040,46040
2019-02-01,25371,Linköping,30228,30228
2019-02-01,25371,Malmö,28647,28647
2019-02-01,25371,Kalmar,21918,21918
2019-02-01,25371,Gotland,31121,31121
2019-03-01,25052,Stockholm,69176,69176
2019-03-01,25052,Umeå,26979,26979
2019-03-01,25052,Uppsala,36298,36298
2019-03-01,25052,Västerås,22701,22701
2019-03-01,25052,Göteborg,46402,46402
2019-03-01,25052,Linköping,30425,30425
2019-03-01,25052,Malmö,28539,28539
2019-03-01,25052,Kalmar,21927,21927
2019-03-01,25052,Gotland,30591,30591
2019-04-01,24219,Stockholm,69830,69830
2019-04-01,24219,Umeå,26921,26921
2019-04-01,24219,Uppsala,36446,36446
2019-04-01,24219,Västerås,22783,22783
2019-04-01,24219,Göteborg,47049,47049
2019-04-01,24219,Linköping,31498,31498
2019-04-01,24219,Malmö,28681,28681
2019-04-01,24219,Kalmar,22037,22037
2019-04-01,24219,Gotland,31490,31490
2019-05-01,24470,Stockholm,70038,70038
