country,Year,Inflation
France,1981,11.7
France,1982,12.1
France,1983,9.65
France,1984,7.07
France,1985,5.45
France,1986,5.06
France,1987,2.46
France,1988,3.19
France,1989,3.29
France,1990,2.66
France,1991,2.55
France,1992,1.97
France,1993,1.62
France,1994,0.925
France,1995,1.12
France,1996,1.36
France,1997,0.878
France,1998,0.95
France,1999,0.204
France,2000,1.55
France,2001,2.01
France,2002,2.07
France,2003,1.86
France,2004,1.62
France,2005,1.94
France,2006,2.16
France,2007,2.56
France,2008,2.37
France,2009,0.0666
France,2010,1.07
France,2011,0.948
France,2012,1.16
France,2013,0.778
France,2014,0.577
France,2015,1.14
France,2016,0.523
France,2017,0.522
France,2018,0.992
France,2019,1.28
France,2020,2.52
United Kingdom,1981,11.6
United Kingdom,1982,7.42
United Kingdom,1983,5.12
United Kingdom,1984,5.03
United Kingdom,1985,5.51
United Kingdom,1986,4.34
United Kingdom,1987,5.44
United Kingdom,1988,6.13
United Kingdom,1989,7.94
United Kingdom,1990,7.89
United Kingdom,1991,6.42
United Kingdom,1992,3.32
United Kingdom,1993,2.73
United Kingdom,1994,1.39
United Kingdom,1995,11.7
United Kingdom,1996,4.26
United Kingdom,1997,NA
United Kingdom,1998,1.6
United Kingdom,1999,1.34
United Kingdom,2000,1.69
United Kingdom,2001,1.85
United Kingdom,2002,2.06
United Kingdom,2003,2.74
United Kingdom,2004,2.57
United Kingdom,2005,3.14
United Kingdom,2006,2.85
United Kingdom,2007,2.8
United Kingdom,2008,3.23
United Kingdom,2009,1.72
United Kingdom,2010,1.38
United Kingdom,2011,2.07
United Kingdom,2012,1.61
United Kingdom,2013,2.24
United Kingdom,2014,1.59
United Kingdom,2015,0.511
United Kingdom,2016,1.9
United Kingdom,2017,1.82
United Kingdom,2018,2
United Kingdom,2019,2.02
United Kingdom,2020,5.35
Sweden,1981,8.77
Sweden,1982,8.08
Sweden,1983,9.95
Sweden,1984,7.64
Sweden,1985,6.4
Sweden,1986,6.32
Sweden,1987,4.72
Sweden,1988,6.57
Sweden,1989,7.92
Sweden,1990,9.47
Sweden,1991,8.25
Sweden,1992,1.02
Sweden,1993,2.21
Sweden,1994,2.59
Sweden,1995,3.81
Sweden,1996,1.01
Sweden,1997,1.53
Sweden,1998,0.813
Sweden,1999,0.898
Sweden,2000,1.51
Sweden,2001,2.48
Sweden,2002,1.55
Sweden,2003,1.7
Sweden,2004,0.333
Sweden,2005,0.686
Sweden,2006,1.76
Sweden,2007,2.83
Sweden,2008,3.24
Sweden,2009,2.36
Sweden,2010,0.948
Sweden,2011,1.09
Sweden,2012,1
Sweden,2013,0.927
Sweden,2014,1.74
Sweden,2015,2.12
Sweden,2016,1.53
Sweden,2017,2.14
Sweden,2018,2.4
Sweden,2019,2.55
Sweden,2020,1.72
