country,Year,Life_expactancy
Austria,1901,42
Austria,1902,41
Austria,1903,40.1
Austria,1904,40.7
Austria,1905,41.3
Austria,1906,42
Austria,1907,42.6
Austria,1908,43.2
Austria,1909,43.8
Austria,1910,44.5
Austria,1911,45.1
Austria,1912,45.6
Austria,1913,46.2
Austria,1914,46.8
Austria,1915,47.3
Austria,1916,47.9
Austria,1917,48.5
Austria,1918,32.4
Austria,1919,49.6
Austria,1920,50.2
Austria,1921,50.7
Austria,1922,51.3
Austria,1923,51.9
Austria,1924,52.4
Austria,1925,53
Austria,1926,53.6
Austria,1927,54.1
Austria,1928,54.7
Austria,1929,55.3
Austria,1930,55.8
Austria,1931,56.4
Austria,1932,56.7
Austria,1933,57
Austria,1934,57.3
Austria,1935,57.6
Austria,1936,57.9
Austria,1937,58.2
Austria,1938,58.5
Austria,1939,58
Austria,1940,57.7
Austria,1941,56.4
Austria,1942,54
Austria,1943,50.1
Austria,1944,39.1
Austria,1945,31.4
Austria,1946,55.9
Austria,1947,61.2
Austria,1948,63.2
Austria,1949,63.4
Austria,1950,64.8
Austria,1951,65.5
Austria,1952,66.7
Austria,1953,67.2
Austria,1954,67.3
Austria,1955,67.7
Austria,1956,67.8
Austria,1957,67.8
Austria,1958,68.4
Austria,1959,68.5
Austria,1960,69
Austria,1961,69.6
Austria,1962,69.7
Austria,1963,69.8
Austria,1964,70
Austria,1965,70.1
Austria,1966,70.2
Austria,1967,70.2
Austria,1968,70.3
Austria,1969,70.2
Austria,1970,70.2
Austria,1971,70.4
Austria,1972,70.7
Austria,1973,71.1
Austria,1974,71.2
Austria,1975,71.4
Austria,1976,71.8
Austria,1977,72.2
Austria,1978,72.4
Austria,1979,72.6
Austria,1980,72.8
Austria,1981,73.1
Austria,1982,73.3
Austria,1983,73.5
Austria,1984,73.9
Austria,1985,74.3
Austria,1986,74.7
Austria,1987,75.1
Austria,1988,75.5
Austria,1989,75.7
Austria,1990,76
Austria,1991,76.1
Austria,1992,76.3
Austria,1993,76.5
Austria,1994,76.7
Austria,1995,77
Austria,1996,77.3
Austria,1997,77.7
Austria,1998,77.9
Austria,1999,78.2
Austria,2000,78.5
Austria,2001,78.9
Austria,2002,79
Austria,2003,79.1
Austria,2004,79.5
Austria,2005,79.8
Austria,2006,80.1
Austria,2007,80.3
Austria,2008,80.5
Austria,2009,80.5
Austria,2010,80.8
Austria,2011,81
Austria,2012,81.2
Austria,2013,81.3
Austria,2014,81.5
Austria,2015,81.6
Austria,2016,81.8
Austria,2017,82
Austria,2018,82.1
Austria,2019,82.2
Austria,2020,81.5
Austria,2021,82.4
Belgium,1901,49.5
Belgium,1902,49.3
Belgium,1903,49.3
Belgium,1904,49.4
Belgium,1905,50.1
Belgium,1906,49.8
Belgium,1907,51.2
Belgium,1908,49.8
Belgium,1909,50.8
Belgium,1910,51.5
Belgium,1911,49.4
Belgium,1912,52.4
Belgium,1913,52.6
Belgium,1914,42.1
Belgium,1915,40.1
Belgium,1916,42.1
Belgium,1917,43.1
Belgium,1918,35
Belgium,1919,50
Belgium,1920,53.8
Belgium,1921,54.9
Belgium,1922,55.3
Belgium,1923,56.9
Belgium,1924,57.7
Belgium,1925,57.3
