x,y,highlight,probability
1,1,Failure,12% chance
1,2,Failure,12% chance
1,3,Failure,12% chance
1,4,Failure,12% chance
1,5,Failure,12% chance
1,6,Failure,12% chance
1,7,Failure,12% chance
1,8,Failure,12% chance
1,9,Failure,12% chance
1,10,Failure,12% chance
2,1,Failure,12% chance
2,2,Failure,12% chance
2,3,Failure,12% chance
2,4,Success,12% chance
2,5,Failure,12% chance
2,6,Failure,12% chance
2,7,Failure,12% chance
2,8,Failure,12% chance
2,9,Failure,12% chance
2,10,Failure,12% chance
3,1,Failure,12% chance
3,2,Failure,12% chance
3,3,Failure,12% chance
3,4,Failure,12% chance
3,5,Success,12% chance
3,6,Failure,12% chance
3,7,Failure,12% chance
3,8,Failure,12% chance
3,9,Failure,12% chance
3,10,Failure,12% chance
4,1,Success,12% chance
4,2,Failure,12% chance
4,3,Failure,12% chance
4,4,Failure,12% chance
4,5,Failure,12% chance
4,6,Failure,12% chance
4,7,Failure,12% chance
4,8,Failure,12% chance
4,9,Failure,12% chance
4,10,Failure,12% chance
5,1,Failure,12% chance
5,2,Success,12% chance
5,3,Success,12% chance
5,4,Failure,12% chance
5,5,Failure,12% chance
5,6,Failure,12% chance
5,7,Failure,12% chance
5,8,Failure,12% chance
5,9,Failure,12% chance
5,10,Success,12% chance
6,1,Success,12% chance
6,2,Failure,12% chance
6,3,Failure,12% chance
6,4,Failure,12% chance
6,5,Failure,12% chance
6,6,Failure,12% chance
6,7,Failure,12% chance
6,8,Failure,12% chance
6,9,Failure,12% chance
6,10,Failure,12% chance
7,1,Failure,12% chance
7,2,Failure,12% chance
7,3,Failure,12% chance
7,4,Failure,12% chance
7,5,Failure,12% chance
7,6,Failure,12% chance
7,7,Success,12% chance
7,8,Failure,12% chance
7,9,Failure,12% chance
7,10,Failure,12% chance
8,1,Failure,12% chance
8,2,Failure,12% chance
8,3,Failure,12% chance
8,4,Failure,12% chance
8,5,Failure,12% chance
8,6,Failure,12% chance
8,7,Failure,12% chance
8,8,Failure,12% chance
8,9,Success,12% chance
8,10,Failure,12% chance
9,1,Failure,12% chance
9,2,Failure,12% chance
9,3,Failure,12% chance
9,4,Failure,12% chance
9,5,Failure,12% chance
9,6,Failure,12% chance
9,7,Failure,12% chance
9,8,Failure,12% chance
9,9,Failure,12% chance
9,10,Failure,12% chance
10,1,Failure,12% chance
10,2,Failure,12% chance
10,3,Failure,12% chance
10,4,Failure,12% chance
10,5,Failure,12% chance
10,6,Failure,12% chance
10,7,Success,12% chance
10,8,Failure,12% chance
10,9,Failure,12% chance
10,10,Failure,12% chance
