DATE,Number_unemployed,Year,Month
1960-01-01,100935,1960,1
1960-02-01,116294,1960,2
1960-03-01,117947,1960,3
1960-04-01,113651,1960,4
1960-05-01,103358,1960,5
1960-06-01,96595,1960,6
1960-07-01,101584,1960,7
1960-08-01,110221,1960,8
1960-09-01,115260,1960,9
1960-10-01,131680,1960,10
1960-11-01,134813,1960,11
1960-12-01,130304,1960,12
1961-01-01,136977,1961,1
1961-02-01,134205,1961,2
1961-03-01,134696,1961,3
1961-04-01,130660,1961,4
1961-05-01,115040,1961,5
1961-06-01,108290,1961,6
1961-07-01,109449,1961,7
1961-08-01,117072,1961,8
1961-09-01,120039,1961,9
1961-10-01,121763,1961,10
1961-11-01,133598,1961,11
1961-12-01,133151,1961,12
1962-01-01,131605,1962,1
1962-02-01,127773,1962,2
1962-03-01,129467,1962,3
1962-04-01,113161,1962,4
1962-05-01,92081,1962,5
1962-06-01,80835,1962,6
1962-07-01,79514,1962,7
1962-08-01,80394,1962,8
1962-09-01,82874,1962,9
1962-10-01,84567,1962,10
1962-11-01,82909,1962,11
1962-12-01,88145,1962,12
1963-01-01,97200,1963,1
1963-02-01,129700,1963,2
1963-03-01,123800,1963,3
1963-04-01,97600,1963,4
1963-05-01,88000,1963,5
1963-06-01,79000,1963,6
1963-07-01,79500,1963,7
1963-08-01,83600,1963,8
1963-09-01,92100,1963,9
1963-10-01,98900,1963,10
1963-11-01,110400,1963,11
1963-12-01,122300,1963,12
1964-01-01,109000,1964,1
1964-02-01,120400,1964,2
1964-03-01,124100,1964,3
1964-04-01,119300,1964,4
1964-05-01,116100,1964,5
1964-06-01,112100,1964,6
1964-07-01,117000,1964,7
1964-08-01,132200,1964,8
1964-09-01,137600,1964,9
1964-10-01,143600,1964,10
1964-11-01,154300,1964,11
1964-12-01,170100,1964,12
1965-01-01,179800,1965,1
1965-02-01,171500,1965,2
1965-03-01,161400,1965,3
1965-04-01,149400,1965,4
1965-05-01,136000,1965,5
1965-06-01,123100,1965,6
1965-07-01,128500,1965,7
1965-08-01,133700,1965,8
1965-09-01,134200,1965,9
1965-10-01,142700,1965,10
1965-11-01,158200,1965,11
1965-12-01,145800,1965,12
1966-01-01,154600,1966,1
1966-02-01,159200,1966,2
1966-03-01,134800,1966,3
1966-04-01,126800,1966,4
1966-05-01,111300,1966,5
