DATE,LMUNRLTTESM647N
1960-01-01,100935.0
1960-02-01,116294.0
1960-03-01,117947.0
1960-04-01,113651.0
1960-05-01,103358.0
1960-06-01,96595.0
1960-07-01,101584.0
1960-08-01,110221.0
1960-09-01,115260.0
1960-10-01,131680.0
1960-11-01,134813.0
1960-12-01,130304.0
1961-01-01,136977.0
1961-02-01,134205.0
1961-03-01,134696.0
1961-04-01,130660.0
1961-05-01,115040.0
1961-06-01,108290.0
1961-07-01,109449.0
1961-08-01,117072.0
1961-09-01,120039.0
1961-10-01,121763.0
1961-11-01,133598.0
1961-12-01,133151.0
1962-01-01,131605.0
1962-02-01,127773.0
1962-03-01,129467.00000000001
1962-04-01,113161.0
1962-05-01,92081.0
1962-06-01,80835.0
1962-07-01,79514.0
1962-08-01,80394.0
1962-09-01,82874.0
1962-10-01,84567.0
1962-11-01,82909.0
1962-12-01,88145.0
1963-01-01,97200.0
1963-02-01,129699.99999999999
1963-03-01,123800.0
1963-04-01,97600.0
1963-05-01,88000
1963-06-01,79000
1963-07-01,79500.0
1963-08-01,83600.0
1963-09-01,92100.0
1963-10-01,98900.0
1963-11-01,110400.0
1963-12-01,122300.0
1964-01-01,109000
1964-02-01,120400.0
1964-03-01,124100.0
1964-04-01,119300.0
1964-05-01,116100.0
1964-06-01,112100.0
1964-07-01,117000
1964-08-01,132200.0
1964-09-01,137600.0
1964-10-01,143600.0
1964-11-01,154300.0
1964-12-01,170100.0
1965-01-01,179800.0
1965-02-01,171500.0
1965-03-01,161400.0
1965-04-01,149400.0
1965-05-01,136000
1965-06-01,123100.0
1965-07-01,128500.0
1965-08-01,133700.0
1965-09-01,134200.0
1965-10-01,142700.0
1965-11-01,158200.0
1965-12-01,145800.0
1966-01-01,154600.0
1966-02-01,159200.0
1966-03-01,134800.0
1966-04-01,126800.0
1966-05-01,111300.0
1966-06-01,103200.0
1966-07-01,104500.0
1966-08-01,106800.0
1966-09-01,107800.0
1966-10-01,116600.0
1966-11-01,125800.0
1966-12-01,127400.0
1967-01-01,136100.0
1967-02-01,143200.0
1967-03-01,141700.0
1967-04-01,137300.0
1967-05-01,133900.0
1967-06-01,127700.0
1967-07-01,130800.00000000001
1967-08-01,138400.0
1967-09-01,146900.0
1967-10-01,162800.0
1967-11-01,178600.0
1967-12-01,178900.0
1968-01-01,203600.0
1968-02-01,226200.0
1968-03-01,205800.0
1968-04-01,192100.0
1968-05-01,176600.0
1968-06-01,161600.0
1968-07-01,162400.0
1968-08-01,169500.0
1968-09-01,167800.0
1968-10-01,166200.0
1968-11-01,175200.0
1968-12-01,177100.0
1969-01-01,177000
1969-02-01,183400.0
1969-03-01,187300.0
1969-04-01,174600.0
1969-05-01,158000
1969-06-01,149100.0
1969-07-01,144900.0
1969-08-01,147200.0
1969-09-01,148000
1969-10-01,147600.0
1969-11-01,147800.0
1969-12-01,142900.0
1970-01-01,163000
1970-02-01,151800.0
1970-03-01,148600.0
1970-04-01,143200.0
1970-05-01,140200.0
1970-06-01,131800.0
1970-07-01,133500.0
1970-08-01,135900.0
1970-09-01,136800.0
1970-10-01,141600.0
1970-11-01,155700.0
1970-12-01,165800.0
1971-01-01,181400.0
1971-02-01,179300.0
1971-03-01,183400.0
1971-04-01,193600.0
1971-05-01,194300.0
1971-06-01,187900.0
1971-07-01,184700.0
1971-08-01,186200.0
1971-09-01,188400.0
1971-10-01,191700.0
1971-11-01,201100.0
1971-12-01,211600.0
1972-01-01,219300.0
1972-02-01,221400.0
1972-03-01,220600.0
1972-04-01,212000
1972-05-01,198600.0
1972-06-01,186000
1972-07-01,182100.0
1972-08-01,178200.0
1972-09-01,173200.0
1972-10-01,168700.0
1972-11-01,166400.0
1972-12-01,163300.0
1973-01-01,168500.0
1973-02-01,169600.0
1973-03-01,169400.0
1973-04-01,167800.0
1973-05-01,158400.0
1973-06-01,143400.0
1973-07-01,140700.0
1973-08-01,143500.0
1973-09-01,138800.0
1973-10-01,133800.0
1973-11-01,132100.0
1973-12-01,128800.00000000001
1974-01-01,132900.0
1974-02-01,133800.0
1974-03-01,139000
1974-04-01,141700.0
1974-05-01,140200.0
1974-06-01,135300.0
1974-07-01,139900.0
1974-08-01,148500.0
1974-09-01,154400.0
1974-10-01,160500.0
1974-11-01,181200.0
1974-12-01,195700.0
1975-01-01,224400.0
1975-02-01,232300.0
1975-03-01,240400.0
1975-04-01,242800.0
1975-05-01,243700.0
