age,Education_level,Count_var,highlight,Count_var_tot,Frac_edu
20,High School,76939,Highlighted group,106460,0.7227033627653578
20,Middle School,15669,Highlighted group,106460,0.1471820402028931
20,Research,0,Highlighted group,106460,0
20,University,13852,Highlighted group,106460,0.13011459703174902
21,High School,69086,Highlighted group,108785,0.6350691731396791
21,Middle School,14514,Highlighted group,108785,0.13341912947557108
21,Research,0,Highlighted group,108785,0
21,University,25185,Highlighted group,108785,0.23151169738474975
22,High School,65887,Highlighted group,113089,0.5826119251209224
22,Middle School,14101,Highlighted group,113089,0.12468940392080574
22,Research,0,Highlighted group,113089,0
22,University,33101,Highlighted group,113089,0.2926986709582718
23,High School,58820,Highlighted group,111322,0.5283771401879234
23,Middle School,13104,Highlighted group,111322,0.11771258152027451
23,Research,0,Highlighted group,111322,0
23,University,39398,Highlighted group,111322,0.35391027829180216
24,High School,55027,Highlighted group,110968,0.49588169562396367
24,Middle School,12091,Highlighted group,110968,0.10895933962944272
24,Research,0,Highlighted group,110968,0
24,University,43850,Highlighted group,110968,0.3951589647465936
25,High School,55155,Highlighted group,116364,0.4739868000412499
25,Middle School,11820,Highlighted group,116364,0.10157780756935135
25,Research,18,Highlighted group,116364,1.5468701660307311e-4
25,University,49371,Highlighted group,116364,0.4242807053727957
26,High School,57113,Highlighted group,125272,0.4559119356280733
26,Middle School,12687,Highlighted group,125272,0.10127562424165017
26,Research,34,Highlighted group,125272,2.714094131170573e-4
26,University,55438,Highlighted group,125272,0.44254103071715944
27,High School,58754,Highlighted group,134540,0.4367028393042961
27,Middle School,12435,Highlighted group,134540,0.09242604429909321
27,Research,77,Highlighted group,134540,5.723204994797086e-4
27,University,63274,Highlighted group,134540,0.470298795897131
28,High School,60014,Highlighted group,140161,0.4281790226953289
28,Middle School,12682,Highlighted group,140161,0.09048166037628157
28,Research,184,Highlighted group,140161,0.0013127760218605746
28,University,67281,Highlighted group,140161,0.4800265409065289
29,High School,61347,Highlighted group,146261,0.41943511940982214
29,Middle School,12909,Highlighted group,146261,0.08826002830556334
29,Research,373,Highlighted group,146261,0.002550235537839889
29,University,71632,Highlighted group,146261,0.4897546167467746
30,High School,61789,Highlighted group,149805,0.41246286839558094
30,Middle School,13444,Highlighted group,149805,0.0897433329995661
30,Research,619,Highlighted group,149805,0.004132038316478088
30,University,73953,Highlighted group,149805,0.4936617602883749
31,High School,61510,Highlighted group,152674,0.4028845775967093
31,Middle School,13968,Highlighted group,152674,0.09148905511088987
31,Research,949,Highlighted group,152674,0.006215858626878185
31,University,76247,Highlighted group,152674,0.4994105086655226
32,High School,57478,Highlighted group,146575,0.39214054238444485
32,Middle School,13389,Highlighted group,146575,0.09134572744328842
32,Research,1164,Highlighted group,146575,0.00794132696571721
32,University,74544,Highlighted group,146575,0.5085724032065495
33,High School,56119,Highlighted group,144412,0.3886034401573277
33,Middle School,13004,Highlighted group,144412,0.09004791845553001
33,Research,1461,Highlighted group,144412,0.010116887793258178
33,University,73828,Highlighted group,144412,0.5112317535938842
34,High School,52128,Highlighted group,137662,0.37866658918219986
34,Middle School,12688,Highlighted group,137662,0.09216777324170795
34,Research,1727,Highlighted group,137662,0.012545219450538275
34,University,71119,Highlighted group,137662,0.5166204181255539
35,High School,50863,Highlighted group,136135,0.37362177250523376
35,Middle School,12869,Highlighted group,136135,0.09453116391816946
35,Research,1939,Highlighted group,136135,0.014243214456238293
35,University,70464,Highlighted group,136135,0.5176038491203585
36,High School,49393,Highlighted group,133571,0.36978835226209283
36,Middle School,13391,Highlighted group,133571,0.10025379760576772
36,Research,2148,Highlighted group,133571,0.016081335020326267
36,University,68639,Highlighted group,133571,0.5138765151118132
37,High School,46470,Highlighted group,129003,0.3602241808330039
37,Middle School,13010,Highlighted group,129003,0.10085036782090338
37,Research,2217,Highlighted group,129003,0.0171856468454222
37,University,67306,Highlighted group,129003,0.5217398045006705
38,High School,45257,Highlighted group,126039,0.35907139853537395
38,Middle School,13056,Highlighted group,126039,0.10358698498083926
38,Research,2309,Highlighted group,126039,0.018319726433881578
38,University,65417,Highlighted group,126039,0.5190218900499052
39,High School,44308,Highlighted group,126414,0.3504991535747623
39,Middle School,13661,Highlighted group,126414,0.10806556235859953
39,Research,2388,Highlighted group,126414,0.018890312781812142
39,University,66057,Highlighted group,126414,0.522544971284826
40,High School,44640,Highlighted group,124424,0.35877322703015496
40,Middle School,12682,Highlighted group,124424,0.10192567350350415
40,Research,2381,Highlighted group,124424,0.01913617951520607
40,University,64721,Highlighted group,124424,0.5201649199511348
41,High School,47185,Highlighted group,128483,0.367247028789801
41,Middle School,12855,Highlighted group,128483,0.10005214697664283
41,Research,2454,Highlighted group,128483,0.019099803086789692
41,University,65989,Highlighted group,128483,0.5136010211467665
42,High School,44173,Highlighted group,124538,0.35469495254460487
42,Middle School,14702,Highlighted group,124538,0.11805232137981982
42,Research,2519,Highlighted group,124538,0.02022675809792995
42,University,63144,Highlighted group,124538,0.5070259679776454
43,High School,44069,Highlighted group,120729,0.3650241449858775
43,Middle School,14698,Highlighted group,120729,0.12174374011215201
43,Research,2622,Highlighted group,120729,0.02171806276868027
43,University,59340,Highlighted group,120729,0.49151405213329025
44,High School,47654,Highlighted group,122016,0.39055533700498296
44,Middle School,12434,Highlighted group,122016,0.10190466824023078
44,Research,2497,Highlighted group,122016,0.020464529242066615
44,University,59431,Highlighted group,122016,0.48707546551271963
45,High School,49723,Highlighted group,123062,0.40404836586436105
45,Middle School,10739,Highlighted group,123062,0.08726495587589995
45,Research,2521,Highlighted group,123062,0.02048560888007671
45,University,60079,Highlighted group,123062,0.4882010693796623
46,High School,53239,Highlighted group,127452,0.41771804287104164
46,Middle School,10666,Highlighted group,127452,0.083686407431817475
46,Research,2645,Highlighted group,127452,0.020752910899789725
46,University,60902,Highlighted group,127452,0.47784263879735117
47,High School,56025,Highlighted group,133234,0.4205007730759416
47,Middle School,12627,Highlighted group,133234,0.09477310596394314
47,Research,2501,Highlighted group,133234,0.018771484756143327
47,University,62081,Highlighted group,133234,0.465954636203972
