country,Year,Population
France,1900,40000000
France,1901,40100000
France,1902,40100000
France,1903,40200000
France,1904,40200000
France,1905,40300000
France,1906,40300000
France,1907,40400000
France,1908,40400000
France,1909,40400000
France,1910,40300000
France,1911,40200000
France,1912,40000000
France,1913,39800000
France,1914,39600000
France,1915,39300000
France,1916,39100000
France,1917,38900000
France,1918,38700000
France,1919,38600000
France,1920,38500000
France,1921,38600000
France,1922,38700000
France,1923,39000000
France,1924,39300000
France,1925,39500000
France,1926,39800000
France,1927,40000000
France,1928,40300000
France,1929,40500000
France,1930,40600000
France,1931,40700000
France,1932,40700000
France,1933,40600000
France,1934,40600000
France,1935,40500000
France,1936,40400000
France,1937,40400000
France,1938,40300000
France,1939,40300000
France,1940,40300000
France,1941,40400000
France,1942,40500000
France,1943,40600000
France,1944,40800000
France,1945,40900000
France,1946,41100000
France,1947,41200000
France,1948,41400000
France,1949,41600000
France,1950,41800000
France,1951,42000000
France,1952,42300000
France,1953,42700000
France,1954,43000000
France,1955,43400000
France,1956,43800000
France,1957,44200000
France,1958,44700000
France,1959,45100000
France,1960,45700000
France,1961,46300000
France,1962,46900000
France,1963,47600000
France,1964,48200000
France,1965,48700000
France,1966,49200000
France,1967,49700000
France,1968,50000000
France,1969,50400000
France,1970,50800000
France,1971,51200000
France,1972,51600000
France,1973,52000000
France,1974,52400000
France,1975,52700000
France,1976,53000000
France,1977,53200000
France,1978,53400000
France,1979,53600000
France,1980,53900000
France,1981,54100000
France,1982,54400000
France,1983,54700000
France,1984,55000000
France,1985,55300000
France,1986,55500000
France,1987,55800000
France,1988,56100000
France,1989,56400000
France,1990,56700000
France,1991,56900000
France,1992,57100000
France,1993,57400000
France,1994,57600000
France,1995,57800000
France,1996,58000000
France,1997,58200000
France,1998,58400000
France,1999,58700000
France,2000,59000000
France,2001,59400000
France,2002,59800000
France,2003,60300000
France,2004,60700000
France,2005,61100000
France,2006,61500000
France,2007,61900000
France,2008,62200000
France,2009,62500000
France,2010,62900000
France,2011,63200000
France,2012,63600000
France,2013,63900000
France,2014,64200000
France,2015,64500000
France,2016,64700000
France,2017,64800000
France,2018,65000000
France,2019,65099999.99999999
