pop_est,continent,name,iso_a3,gdp_md_est,Overall_rank,Score,GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,cont_num
53950935,Africa,Tanzania,TZA,150600,153,3.303,0.455,0.991,0.381,0.481,0.27,0.097,0
35623680,North America,Canada,CAN,1674000,7,7.328,1.33,1.532,0.896,0.653,0.321,0.291,1
18556698,Asia,Kazakhstan,KAZ,460700,60,5.79,1.143,1.516,0.631,0.454,0.148,0.121,2
29748859,Asia,Uzbekistan,UZB,202300,44,6.096,0.719,1.584,0.605,0.724,0.328,0.259,2
260580739,Asia,Indonesia,IDN,3028000,96,5.093,0.899,1.215,0.522,0.538,0.484,0.018,2
44293293,South America,Argentina,ARG,879400,29,6.388,1.073,1.468,0.744,0.57,0.062,0.054,3
17789267,South America,Chile,CHL,436100,25,6.476,1.131,1.331,0.808,0.431,0.197,0.061,3
7531386,Africa,Somalia,SOM,4719,98,4.982,0,0.712,0.115,0.674,0.238,0.282,0
47615739,Africa,Kenya,KEN,152700,124,4.41,0.493,1.048,0.454,0.504,0.352,0.055,0
37345935,Africa,Sudan,SDN,176300,137,4.139,0.605,1.24,0.312,0.016,0.134,0.082,0
12075985,Africa,Chad,TCD,30590,131,4.301,0.358,0.907,0.053,0.189,0.181,0.06,0
10646714,North America,Haiti,HTI,19340,148,3.582,0.315,0.714,0.289,0.025,0.392,0.104,1
142257519,Europe,Russia,RUS,3745000,59,5.81,1.151,1.479,0.599,0.399,0.065,0.025,4
5320045,Europe,Norway,-99,364700,2,7.594,1.456,1.582,0.861,0.686,0.286,0.34,4
54841552,Africa,South Africa,ZAF,739100,105,4.724,0.94,1.41,0.33,0.516,0.103,0.056,0
1958042,Africa,Lesotho,LSO,6019,141,3.808,0.472,1.215,0.079,0.423,0.116,0.112,0
124574795,North America,Mexico,MEX,2307000,24,6.488,1.038,1.252,0.761,0.479,0.069,0.095,1
3360148,South America,Uruguay,URY,73250,31,6.379,1.093,1.459,0.771,0.625,0.13,0.155,3
207353391,South America,Brazil,BRA,3081000,28,6.419,0.986,1.474,0.675,0.493,0.11,0.088,3
11138234,South America,Bolivia,BOL,78350,62,5.752,0.751,1.223,0.508,0.606,0.141,0.054,3
31036656,South America,Peru,PER,410400,65,5.663,0.934,1.249,0.674,0.53,0.092,0.034,3
47698524,South America,Colombia,COL,688000,37,6.26,0.96,1.439,0.635,0.531,0.099,0.039,3
3753142,North America,Panama,PAN,93120,27,6.43,1.112,1.438,0.759,0.597,0.125,0.063,1
4930258,North America,Costa Rica,CRI,79260,13,7.072,1.01,1.459,0.817,0.632,0.143,0.101,1
6025951,North America,Nicaragua,NIC,33550,41,6.141,0.668,1.319,0.7,0.527,0.208,0.128,1
9038741,North America,Honduras,HND,43190,72,5.504,0.62,1.205,0.622,0.459,0.197,0.074,1
6172011,North America,El Salvador,SLV,54790,40,6.167,0.806,1.231,0.639,0.461,0.065,0.082,1
15460732,North America,Guatemala,GTM,131800,30,6.382,0.781,1.268,0.608,0.604,0.179,0.071,1
360346,North America,Belize,BLZ,3088,49,5.956,0.807,1.101,0.474,0.593,0.183,0.089,1
31304016,South America,Venezuela,VEN,468600,102,4.806,0.996,1.469,0.657,0.133,0.056,0.052,3
67106161,Europe,France,-99,2699000,23,6.489,1.293,1.466,0.908,0.52,0.098,0.176,4
16290913,South America,Ecuador,ECU,182400,48,5.973,0.889,1.33,0.736,0.556,0.114,0.12,3
2990561,North America,Jamaica,JAM,25390,56,5.89,0.819,1.493,0.693,0.575,0.096,0.031,1
13805084,Africa,Zimbabwe,ZWE,28330,144,3.692,0.357,1.094,0.248,0.406,0.132,0.099,0
2214858,Africa,Botswana,BWA,35900,146,3.59,1.017,1.174,0.417,0.557,0.042,0.092,0
2484780,Africa,Namibia,"NAM",25990,119,4.441,0.874,1.281,0.365,0.519,0.051,0.064,0
14668522,Africa,Senegal,SEN,39720,109,4.631,0.429,1.117,0.433,0.406,0.138,0.082,0
17885245,Africa,Mali,MLI,38090,118,4.447,0.37,1.233,0.152,0.367,0.139,0.056,0
3758571,Africa,Mauritania,MRT,16710,126,4.356,0.557,1.245,0.292,0.129,0.134,0.093,0
11038805,Africa,Benin,BEN,24310,136,4.141,0.378,0.372,0.24,0.44,0.163,0.067,0
19245344,Africa,Niger,NER,20150,134,4.166,0.131,0.867,0.221,0.39,0.175,0.099,0
190632261,Africa,Nigeria,NGA,1089000,91,5.155,0.689,1.172,0.048,0.462,0.201,0.032,0
24994885,Africa,Cameroon,CMR,77240,99,4.975,0.535,0.891,0.182,0.454,0.183,0.043,0
7965055,Africa,Togo,TGO,11610,139,3.999,0.259,0.474,0.253,0.434,0.158,0.101,0
27499924,Africa,Ghana,GHA,120800,108,4.657,0.592,0.896,0.337,0.499,0.212,0.029,0
12413867,Africa,Guinea,GIN,16080,140,3.964,0.344,0.792,0.211,0.394,0.185,0.094,0
4689021,Africa,Liberia,LBR,3881,149,3.495,0.076,0.858,0.267,0.419,0.206,0.03,0
6163195,Africa,Sierra Leone,SLE,10640,113,4.571,0.256,0.813,0,0.355,0.238,0.053,0
20107509,Africa,Burkina Faso,BFA,32990,121,4.424,0.314,1.097,0.254,0.312,0.175,0.128,0
1772255,Africa,Gabon,GAB,35980,103,4.758,1.036,1.164,0.404,0.356,0.032,0.052,0
15972000,Africa,Zambia,ZMB,65170,125,4.377,0.562,1.047,0.295,0.503,0.221,0.082,0
