Country,forest
Aruba,2.33
Afghanistan,1.85
Angola,63.6
Anguilla,61.1
Albania,28.8
Andorra,34
United Arab Emirates,3.45
Argentina,12.9
American Samoa,90.3
Antigua and Barbuda,23
Australia,17.4
Austria,45.8
Burundi,10.8
Benin,42.9
Burkina Faso,28.2
Bangladesh,14.8
Bulgaria,30.1
Bahrain,0.32
Bahamas,50.9
Belize,70.2
Bermuda,18.5
Bolivia,53.4
Brazil,70.5
Barbados,14.7
Brunei,78.4
Bhutan,53.6
Botswana,33.2
Central African Republic,37.3
Canada,38.9
Switzerland,29.2
Chile,20.5
China,16.7
Central African Rep.,24.7
Cameroon,47.6
"Congo, Dem. Rep.",66.4
"Congo, Rep.",65.3
Cook Is,62.1
Colombia,58.5
Comoros,24.8
Dem. Rep. Congo,3.82
Congo,56.9
Cuba,19.2
Cayman Islands,54.7
Cyprus,17.4
Germany,32.4
Djibouti,0.24
Dominica,67.1
Denmark,13.3
Dominican Republic,33
Algeria,0.7
Ecuador,52.9
Egypt,0.04
Western Sahara,2.5
Spain,27.8
Finland,71.8
Fiji,51.4
Falkland Is (Malvinas),0
France,26.4
Faeroe Islands,0.06
Gabon,92.2
Isle of Man,6.07
United Kingdom,11.5
Ghana,43.6
Gibraltar,0
Guinea,29.6
Guadeloupe,44.1
Gambia,41
Guinea-Bissau,79.4
Equatorial Guinea,96.2
Greece,25.6
Grenada,52.1
Greenland,0
Guatemala,44.6
French Guiana,97.9
Guam,44.4
Guyana,94.5
Honduras,62.5
Haiti,13.9
Hungary,20.2
Indonesia,65.4
India,21.5
Ireland,6.7
Iran,5.57
Iraq,1.84
Iceland,0.17
Israel,6.1
Italy,25.8
Jamaica,48.1
Jordan,1.1
Japan,68.4
Kenya,6.78
Cambodia,62.3
Kiribati,1.46
St. Kitts and Nevis,42.3
South Korea,67.9
Kuwait,0.19
Lao,77.3
Lebanon,13.7
Liberia,88.5
Libya,0.12
St. Lucia,34.9
Liechtenstein,40.6
Sri Lanka,37.5
Lesotho,1.14
Morocco,12.3
Madagascar,23.6
Maldives,2.73
Mexico,36.3
Mali,10.9
Malta,1.09
Myanmar,60
Mongolia,9.27
Mozambique,55.2
Mauritania,0.46
Montserrat,35
Martinique,45.1
Mauritius,20.2
Malawi,37.1
Malaysia,62.8
Mayotte,51.1
Namibia,10.7
New Caledonia,45.5
Niger,1.54
Norfolk Island,12.3
Nigeria,29.1
Nicaragua,53.2
Niue,72.8
Netherlands,10.2
Norway,33.2
Nepal,39.7
Nauru,0
New Zealand,35.6
Oman,0.01
Pakistan,0.19
Panama,62
Pitcairn,74.5
Peru,59.7
Philippines,26.1
Papua New Guinea,80.4
Poland,29
Puerto Rico,36.1
North Korea,57.4
Portugal,37.1
Paraguay,64.3
Palestine,1.51
French Polynesia,39.5
Qatar,0
Reunion,35.2
Romania,27.8
Rwanda,12.8
Saudi Arabia,0.45
Sudan,12.9
Senegal,48.3
Singapore,22.1
St. Helena,5.13
Solomon Islands,90.9
Sierra Leone,43.3
El Salvador,34.7
San Marino,16.7
Somalia,13.2
St.-Pierre-et-Miquelon,8.26
Sao Tome and Principe,61.1
Suriname,98.6
Sweden,68.9
Eswatini,26.8
Seychelles,73.3
Syria,2.02
Turks and Caicos Islands,11.1
Chad,5.34
Togo,25
Thailand,37.9
Tokelau,0
Timor-Leste,64.8
Tonga,12.4
Trinidad and Tobago,47.2
Tunisia,4.15
Turkey,25.7
Tuvalu,33.3
Tanzania,64.8
Uganda,17.9
Uruguay,4.56
United States of America,33
St. Vincent and the Grenadines,70.6
Venezuela,59
British Virgin Islands,24.7
Virgin Islands (U.S.),70.1
Vietnam,28.8
Vanuatu,36.3
Wallis et Futuna,41.4
Samoa,62.2
Yemen,1.04
South Africa,15
Zambia,63.8
Zimbabwe,48.7
