Year,Population,Municipal_number,Municipal
2021,47573,0114,Upplands Väsby
2021,34256,0115,Vallentuna
2021,48008,0117,Österåker
2021,46174,0120,Värmdö
2021,82841,0123,Järfälla
2021,29059,0125,Ekerö
2021,113843,0126,Huddinge
2021,95011,0127,Botkyrka
2021,17159,0128,Salem
2021,95421,0136,Haninge
2021,49103,0138,Tyresö
2021,30896,0139,Upplands-Bro
2021,11441,0140,Nykvarn
2021,73716,0160,Täby
2021,32804,0162,Danderyd
2021,74793,0163,Sollentuna
2021,979004,0180,Stockholm
2021,101009,0181,Södertälje
2021,107921,0182,Nacka
2021,53406,0183,Sundbyberg
2021,84284,0184,Solna
2021,48073,0186,Lidingö
2021,11967,0187,Vaxholm
2021,64609,0188,Norrtälje
2021,50198,0191,Sigtuna
2021,29290,0192,Nynäshamn
2021,22250,0305,Håbo
2021,9604,0319,Älvkarleby
2021,19708,0330,Knivsta
2021,14262,0331,Heby
2021,21454,0360,Tierp
2021,237180,0380,Uppsala
2021,47352,0381,Enköping
2021,22344,0382,Östhammar
2021,9074,0428,Vingåker
2021,11499,0461,Gnesta
2021,57560,0480,Nyköping
2021,12097,0481,Oxelösund
2021,16301,0482,Flen
2021,34804,0483,Katrineholm
2021,107490,0484,Eskilstuna
2021,37974,0486,Strängnäs
2021,14583,0488,Trosa
2021,5326,0509,Ödeshög
2021,3699,0512,Ydre
2021,10069,0513,Kinda
2021,5489,0560,Boxholm
2021,11447,0561,Åtvidaberg
2021,21876,0562,Finspång
2021,7657,0563,Valdemarsvik
2021,165547,0580,Linköping
2021,144328,0581,Norrköping
2021,14657,0582,Söderköping
2021,43647,0583,Motala
2021,7491,0584,Vadstena
2021,28212,0586,Mjölby
2021,6899,0604,Aneby
2021,9582,0617,Gnosjö
2021,7425,0642,Mullsjö
2021,12790,0643,Habo
2021,29558,0662,Gislaved
2021,14701,0665,Vaggeryd
2021,143494,0680,Jönköping
2021,31731,0682,Nässjö
2021,34651,0683,Värnamo
2021,11705,0684,Sävsjö
2021,27602,0685,Vetlanda
2021,17846,0686,Eksjö
2021,18856,0687,Tranås
2021,9428,0760,Uppvidinge
2021,8600,0761,Lessebo
2021,12346,0763,Tingsryd
2021,20302,0764,Alvesta
2021,17932,0765,Älmhult
2021,10354,0767,Markaryd
2021,95846,0780,Växjö
2021,28435,0781,Ljungby
2021,5627,0821,Högsby
2021,7126,0834,Torsås
2021,15689,0840,Mörbylånga
2021,14042,0860,Hultsfred
2021,13264,0861,Mönsterås
2021,9339,0862,Emmaboda
2021,71309,0880,Kalmar
2021,20262,0881,Nybro
2021,27169,0882,Oskarshamn
2021,36721,0883,Västervik
2021,15566,0884,Vimmerby
2021,10875,0885,Borgholm
2021,60972,0980,Gotland
2021,13280,1060,Olofström
2021,66698,1080,Karlskrona
2021,29216,1081,Ronneby
2021,32283,1082,Karlshamn
2021,17522,1083,Sölvesborg
2021,14365,1214,Svalöv
2021,26242,1230,Staffanstorp
2021,19757,1231,Burlöv
2021,37445,1233,Vellinge
2021,14967,1256,Östra Göinge
2021,10459,1257,Örkelljunga
2021,15760,1260,Bjuv
2021,32336,1261,Kävlinge
2021,24682,1262,Lomma
2021,23075,1263,Svedala
2021,16347,1264,Skurup
2021,19469,1265,Sjöbo
2021,15735,1266,Hörby
2021,16933,1267,Höör
2021,13695,1270,Tomelilla
2021,12656,1272,Bromölla
2021,13272,1273,Osby
2021,7524,1275,Perstorp
2021,17805,1276,Klippan
2021,16292,1277,Åstorp
2021,15635,1278,Båstad
2021,351039,1280,Malmö
2021,127316,1281,Lund
2021,46402,1282,Landskrona
2021,150187,1283,Helsingborg
2021,27435,1284,Höganäs
2021,34536,1285,Eslöv
2021,31526,1286,Ystad
2021,46243,1287,Trelleborg
2021,86707,1290,Kristianstad
2021,19298,1291,Simrishamn
2021,43543,1292,Ängelholm
2021,52290,1293,Hässleholm
2021,10636,1315,Hylte
2021,104484,1380,Halmstad
2021,26249,1381,Laholm
2021,46755,1382,Falkenberg
2021,66533,1383,Varberg
2021,85246,1384,Kungsbacka
2021,38818,1401,Härryda
2021,39575,1402,Partille
2021,12934,1407,Öckerö
2021,27439,1415,Stenungsund
2021,16303,1419,Tjörn
2021,15354,1421,Orust
2021,9130,1427,Sotenäs
2021,10563,1430,Munkedal
2021,12988,1435,Tanum
2021,4775,1438,Dals-Ed
2021,6593,1439,Färgelanda
2021,32117,1440,Ale
2021,43365,1441,Lerum
2021,12176,1442,Vårgårda
2021,9603,1443,Bollebygd
2021,5711,1444,Grästorp
2021,5710,1445,Essunga
2021,6957,1446,Karlsborg
2021,5179,1447,Gullspång
2021,11896,1452,Tranemo
2021,9443,1460,Bengtsfors
2021,9268,1461,Mellerud
2021,14495,1462,Lilla Edet
2021,35141,1463,Mark
2021,10829,1465,Svenljunga
2021,9510,1466,Herrljunga
2021,16161,1470,Vara
2021,13231,1471,Götene
2021,11275,1472,Tibro
2021,9209,1473,Töreboda
2021,586614,1480,Göteborg
2021,70089,1481,Mölndal
2021,48135,1482,Kungälv
2021,14308,1484,Lysekil
2021,57040,1485,Uddevalla
2021,13262,1486,Strömstad
2021,39576,1487,Vänersborg
2021,59193,1488,Trollhättan
2021,41779,1489,Alingsås
2021,114030,1490,Borås
2021,24856,1491,Ulricehamn
2021,12357,1492,Åmål
2021,24718,1493,Mariestad
2021,40482,1494,Lidköping
2021,18798,1495,Skara
2021,57036,1496,Skövde
2021,9253,1497,Hjo
2021,12814,1498,Tidaholm
2021,33216,1499,Falköping
2021,12113,1715,Kil
2021,8471,1730,Eda
2021,11496,1737,Torsby
2021,3932,1760,Storfors
2021,16782,1761,Hammarö
2021,3663,1762,Munkfors
2021,11589,1763,Forshaga
2021,9090,1764,Grums
2021,9934,1765,Årjäng
2021,13385,1766,Sunne
2021,95282,1780,Karlstad
2021,24127,1781,Kristinehamn
2021,10409,1782,Filipstad
2021,11569,1783,Hagfors
2021,25882,1784,Arvika
2021,15445,1785,Säffle
2021,8591,1814,Lekeberg
2021,5585,1860,Laxå
2021,16158,1861,Hallsberg
2021,9564,1862,Degerfors
2021,6880,1863,Hällefors
2021,4613,1864,Ljusnarsberg
2021,156946,1880,Örebro
2021,22092,1881,Kumla
2021,11527,1882,Askersund
2021,30381,1883,Karlskoga
2021,10710,1884,Nora
2021,23641,1885,Lindesberg
2021,4376,1904,Skinnskatteberg
2021,10100,1907,Surahammar
2021,8810,1960,Kungsör
2021,16560,1961,Hallstahammar
2021,5706,1962,Norberg
2021,156684,1980,Västerås
2021,22972,1981,Sala
2021,13306,1982,Fagersta
2021,26122,1983,Köping
2021,14085,1984,Arboga
2021,6764,2021,Vansbro
2021,10159,2023,Malung-Sälen
2021,10497,2026,Gagnef
2021,16014,2029,Leksand
2021,11089,2031,Rättvik
2021,6926,2034,Orsa
2021,7029,2039,Älvdalen
2021,10935,2061,Smedjebacken
2021,20603,2062,Mora
2021,59788,2080,Falun
2021,52260,2081,Borlänge
2021,11227,2082,Säter
2021,15446,2083,Hedemora
2021,22929,2084,Avesta
2021,26498,2085,Ludvika
2021,5883,2101,Ockelbo
2021,9583,2104,Hofors
2021,11721,2121,Ovanåker
2021,9491,2132,Nordanstig
2021,18821,2161,Ljusdal
2021,103183,2180,Gävle
2021,39280,2181,Sandviken
2021,25467,2182,Söderhamn
2021,26744,2183,Bollnäs
2021,37700,2184,Hudiksvall
2021,9254,2260,Ånge
2021,17921,2262,Timrå
2021,24992,2280,Härnösand
2021,99368,2281,Sundsvall
2021,18050,2282,Kramfors
2021,18809,2283,Sollefteå
2021,55829,2284,Örnsköldsvik
2021,5221,2303,Ragunda
2021,6163,2305,Bräcke
2021,15347,2309,Krokom
2021,11492,2313,Strömsund
2021,12194,2321,Åre
2021,7119,2326,Berg
2021,10065,2361,Härjedalen
2021,64313,2380,Östersund
2021,7104,2401,Nordmaling
2021,2393,2403,Bjurholm
2021,5543,2404,Vindeln
2021,6772,2409,Robertsfors
2021,3963,2417,Norsjö
2021,3039,2418,Malå
2021,5805,2421,Storuman
2021,2458,2422,Sorsele
2021,2449,2425,Dorotea
2021,9040,2460,Vännäs
2021,6488,2462,Vilhelmina
2021,2817,2463,Åsele
2021,131064,2480,Umeå
2021,12278,2481,Lycksele
2021,73320,2482,Skellefteå
