Year,Population,Region_number,Region
2021,2411859,01,Stockholms
2021,394154,03,Uppsala
2021,301382,04,Södermanlands
2021,469445,05,Östergötlands
2021,366840,06,Jönköpings
2021,203243,07,Kronobergs
2021,246989,08,Kalmar
2021,60972,09,Gotlands
2021,158999,10,Blekinge
2021,1400973,12,Skåne
2021,339903,13,Hallands
2021,1743304,14,Västra Götalands
2021,283169,17,Värmlands
2021,306688,18,Örebro
2021,278721,19,Västmanlands
2021,288164,20,Dalarnas
2021,287873,21,Gävleborgs
2021,244223,22,Västernorrlands
2021,131914,23,Jämtlands
2021,274533,24,Västerbottens
2021,249752,25,Norrbottens
