year,mean_T,sd
2000,-0.147252747,4.785413965
2001,-3.261111111,5.922195813
2003,0.156451613,4.67350229
2004,-2.234065934,4.60818643
2005,-1.091111111,3.550926274
2006,-1.347777778,5.420129518
2007,-1.592222222,5.089479737
2008,0.896703297,2.716552167
2009,-3.726666667,4.892043529
2010,-8.649444444,5.188803279
2011,-2.711111111,5.616792528
2012,-4.059340659,4.668368214
2013,-1.820555556,5.291199469
2014,-0.959444444,4.362157842
2015,0.531666667,3.819115507
2016,-2.201648352,5.705379774
2017,-1.083333333,3.210157685
2018,-2.246666667,3.816609178
2019,-0.690555556,4.410908939
2020,2.774725275,2.566995365
2021,-3.328888889,5.254698153
